Testing v8 version different from logging version
Statistical profiling result from isolate-0x562c3ce11fc0-52-v8.log, (106201 ticks, 56096 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *Module._load internal/modules/cjs/loader.js:648:24
      1    0.0%    0.0%  LazyCompile: *Keccak.toString.Keccak.hex /app/node_modules/js-sha3/src/sha3.js:353:63
      1    0.0%    0.0%  LazyCompile: *Headers /app/node_modules/node-fetch/lib/index.js:707:13
      1    0.0%    0.0%  LazyCompile: *ByteInputStream /app/node_modules/busboy/deps/encoding/encoding.js:84:25
      1    0.0%    0.0%  LazyCompile: *<anonymous> /app/node_modules/dicer/lib/Dicer.js:126:36

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
  21402   20.2%   27.6%  JavaScript
      0    0.0%    0.0%  C++
   8573    8.1%   11.1%  GC
  28703   27.0%          Shared libraries
  56096   52.8%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  56096   52.8%  UNKNOWN
  15235   27.2%    LazyCompile: ~wrapSafe internal/modules/cjs/loader.js:899:18
  15235  100.0%      LazyCompile: ~Module._compile internal/modules/cjs/loader.js:953:37
  15235  100.0%        LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1008:37
  15235  100.0%          LazyCompile: ~Module.load internal/modules/cjs/loader.js:851:33
  15235  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:648:24
  12103   21.6%    LazyCompile: *decode /app/node_modules/busboy/deps/encoding/encoding.js:897:26
  10221   84.5%      LazyCompile: ~decodeText /app/node_modules/busboy/lib/utils.js:95:20
  10218  100.0%        LazyCompile: ~onEnd /app/node_modules/busboy/lib/types/multipart.js:257:25
   9927   97.2%          LazyCompile: *emit events.js:262:44
   9707   97.8%            LazyCompile: ~onPart /app/node_modules/busboy/lib/types/multipart.js:106:32
    220    2.2%            LazyCompile: ~endReadableNT _stream_readable.js:1234:23
    283    2.8%          LazyCompile: *endReadableNT _stream_readable.js:1234:23
    283  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:69:35
   1838   15.2%      LazyCompile: *emit events.js:262:44
   1838  100.0%        LazyCompile: *emit events.js:262:44
   1838  100.0%          LazyCompile: ~Dicer._oninfo /app/node_modules/dicer/lib/Dicer.js:142:35
   1838  100.0%            LazyCompile: ~<anonymous> /app/node_modules/dicer/lib/Dicer.js:126:36
   9170   16.3%    LazyCompile: ~decodeText /app/node_modules/busboy/lib/utils.js:95:20
   9149   99.8%      LazyCompile: ~onEnd /app/node_modules/busboy/lib/types/multipart.js:257:25
   8874   97.0%        LazyCompile: *emit events.js:262:44
